bedA	bedB	pvalue	zscore	alt	regionset	window	Acnt	Bcnt	Abp	Bbp	intersection	union	jaccard	Ninter	Ainter	Binter	Auniq	Buniq	A_fifty	B_fifty
14_Repetitive	cancHpredL	0.120879120879121	1.3843	greater	152	0	3415	1503	3894144	75150000	132486	78906740	0.00167902	152	151	50	3264	1453	149	0
14_Repetitive	cancHpredL2	0.328671328671329	-0.6553	less	14	0	3415	505	3894144	25250000	7000	29133224	0.000240276	14	14	14	3401	491	14	0
14_Repetitive	cancLpredH	0.0929070929070929	1.6817	greater	141	0	3415	867	3894144	43350000	138275	47101587	0.00293568	141	140	32	3275	835	138	0
15_Repetitive	cancHpredH	0.320679320679321	-0.6484	less	19	0	3478	498	2461345	24900000	10152	27347217	0.000371226	19	19	19	3459	479	19	0
15_Repetitive	cancHpredL	0.0809190809190809	1.5362	greater	158	0	3478	1503	2461345	75150000	373748	77232616	0.00483925	158	153	72	3325	1431	152	4
15_Repetitive	cancHpredL2	0.576423576423576	-0.3456	less	23	0	3478	505	2461345	25250000	11000	27696362	0.000397164	23	23	22	3455	483	23	0
15_Repetitive	cancLpredH	0.040959040959041	2.1964	greater	141	0	3478	867	2461345	43350000	96597	45710403	0.00211324	141	138	37	3340	830	138	0
1_Active_Promoter	cancHpredH	0.000999000999000999	3.6374	greater	201	0	13712	498	17028696	24900000	229203	41685283	0.00549842	201	201	121	13511	377	193	0
1_Active_Promoter	cancHpredL	0.172827172827173	0.9359	greater	523	0	13712	1503	17028696	75150000	655939	91507542	0.00716814	523	515	330	13197	1173	513	0
1_Active_Promoter	cancHpredL2	0.396603396603397	-0.3385	less	124	0	13712	505	17028696	25250000	161061	42103418	0.00382537	124	124	85	13588	420	123	0
1_Active_Promoter	cancLpredH	0.496503496503497	-0.0863	less	197	0	13712	867	17028696	43350000	240642	60123475	0.00400246	197	193	129	13519	738	193	0
2_Weak_Promoter	cancHpredH	0.004995004995005	2.928	greater	339	0	25239	498	13450244	24900000	174664	38149843	0.00457837	339	338	150	24901	348	338	0
2_Weak_Promoter	cancHpredL	0.320679320679321	0.4378	greater	914	0	25239	1503	13450244	75150000	497050	88076452	0.00564339	914	904	430	24335	1073	898	0
2_Weak_Promoter	cancHpredL2	0.360639360639361	-0.4042	less	220	0	25239	505	13450244	25250000	125962	38548538	0.00326762	220	218	115	25021	390	216	0
2_Weak_Promoter	cancLpredH	0.488511488511489	-0.1812	less	352	0	25239	867	13450244	43350000	167988	56606150	0.00296766	352	351	165	24888	702	347	0
3_Poised_Promoter	cancHpredH	0.324675324675325	0.5738	greater	41	0	3949	498	3940416	24900000	46597	28789372	0.00161855	41	41	29	3908	469	40	0
3_Poised_Promoter	cancHpredL	0.332667332667333	0.4451	greater	157	0	3949	1503	3940416	75150000	162741	78922223	0.00206204	157	156	115	3793	1388	154	0
3_Poised_Promoter	cancHpredL2	0.508491508491508	-0.2052	less	43	0	3949	505	3940416	25250000	36051	29149911	0.00123674	43	43	37	3906	468	42	0
3_Poised_Promoter	cancLpredH	0.360639360639361	-0.4786	less	53	0	3949	867	3940416	43350000	55906	47229694	0.0011837	53	53	38	3896	829	53	0
4_Strong_Enhancer	cancHpredH	0.004995004995005	3.3382	greater	267	0	19740	498	15491373	24900000	204556	40166579	0.00509269	267	265	141	19475	357	258	0
4_Strong_Enhancer	cancHpredL	0.0769230769230769	1.4725	greater	801	0	19740	1503	15491373	75150000	627897	89992233	0.00697724	801	792	406	18948	1097	787	0
4_Strong_Enhancer	cancHpredL2	0.468531468531469	-0.0649	less	201	0	19740	505	15491373	25250000	148598	40572530	0.00366253	201	200	111	19540	394	200	0
4_Strong_Enhancer	cancLpredH	0.400599400599401	-0.3517	less	272	0	19740	867	15491373	43350000	190650	58630116	0.00325174	272	272	162	19468	705	269	0
5_Strong_Enhancer	cancHpredH	0.004995004995005	2.9563	greater	601	0	52368	498	47808824	24900000	540662	72115296	0.00749719	601	600	218	51768	280	595	0
5_Strong_Enhancer	cancHpredL	0.036963036963037	1.8168	greater	1871	0	52368	1503	47808824	75150000	1699420	121205533	0.014021	1871	1849	681	50519	822	1833	0
5_Strong_Enhancer	cancHpredL2	0.308691308691309	0.5694	greater	569	0	52368	505	47808824	25250000	516552	72489399	0.0071259	569	560	200	51808	305	556	0
5_Strong_Enhancer	cancLpredH	0.276723276723277	-0.5934	less	712	0	52368	867	47808824	43350000	611003	90494586	0.00675182	712	705	303	51663	564	699	0
6_Weak_Enhancer	cancHpredH	0.012987012987013	2.2026	greater	750	0	69010	498	27760784	24900000	292941	52298335	0.00560134	750	750	296	68260	202	747	0
6_Weak_Enhancer	cancHpredL	0.108891108891109	1.1328	greater	2240	0	69010	1503	27760784	75150000	907548	101932723	0.0089034	2240	2228	890	66782	613	2216	0
6_Weak_Enhancer	cancHpredL2	0.524475524475524	-0.0312	less	650	0	69010	505	27760784	25250000	284218	52657051	0.00539753	650	645	262	68365	243	640	0
6_Weak_Enhancer	cancLpredH	0.444555444555445	-0.1963	less	980	0	69010	867	27760784	43350000	392305	70648602	0.00555291	980	979	437	68031	430	974	0
7_Weak_Enhancer	cancHpredH	0.004995004995005	2.7899	greater	1605	0	149884	498	74259738	24900000	796162	98213194	0.00810647	1605	1603	347	148281	151	1589	0
7_Weak_Enhancer	cancHpredL	0.0529470529470529	1.6703	greater	4910	0	149884	1503	74259738	75150000	2394028	146864323	0.016301	4910	4880	1031	145004	472	4870	0
7_Weak_Enhancer	cancHpredL2	0.544455544455544	0.029	greater	1470	0	149884	505	74259738	25250000	717703	98641646	0.00727586	1470	1457	298	148427	207	1452	0
7_Weak_Enhancer	cancLpredH	0.400599400599401	-0.2469	less	2116	0	149884	867	74259738	43350000	1016238	116442749	0.00872736	2116	2104	471	147780	396	2093	0
8_Insulator	cancHpredH	0.000999000999000999	3.3136	greater	374	0	33709	498	13116840	24900000	145773	37836860	0.00385267	374	374	252	33335	246	372	0
8_Insulator	cancHpredL	0.396603396603397	0.286	greater	993	0	33709	1503	13116840	75150000	389759	87841869	0.00443705	993	991	656	32718	847	984	0
8_Insulator	cancHpredL2	0.0889110889110889	-1.4721	less	277	0	33709	505	13116840	25250000	113044	38219582	0.00295775	277	277	189	33432	316	276	0
8_Insulator	cancLpredH	0.0769230769230769	-1.4666	less	419	0	33709	867	13116840	43350000	159850	56272414	0.00284065	419	417	302	33292	565	416	0
9_Txn_Transition	cancHpredH	0.000999000999000999	3.7989	greater	157	0	9999	498	13660808	24900000	207582	38342729	0.00541386	157	157	81	9842	417	155	0
9_Txn_Transition	cancHpredL	0.020979020979021	1.8969	greater	465	0	9999	1503	13660808	75150000	728484	88070822	0.00827157	465	458	221	9541	1282	457	0
9_Txn_Transition	cancHpredL2	0.328671328671329	0.432	greater	129	0	9999	505	13660808	25250000	162956	38737348	0.00420669	129	127	59	9872	446	127	0
9_Txn_Transition	cancLpredH	0.312687312687313	0.3988	greater	162	0	9999	867	13660808	43350000	213998	56785944	0.0037685	162	161	82	9838	785	161	0
