chr	start	end	id	TCGA-BLOOD.all	TCGA-BLOOD.amp	TCGA-BLOOD.del	TCGA-BRCA.all	TCGA-BRCA.amp	TCGA-BRCA.del	TCGA-BRCA.segs	TCGA-PANC.all	TCGA-PANC.amp	TCGA-PANC.del	TCGA-SCCA.all	TCGA-SCCA.amp	TCGA-SCCA.del
chr1	3450000	3499999	70	2	0	2	4	0	4	20	43	0	43	2	0	2
chr1	3500000	3549999	71	2	0	2	0	0	0	20	13	0	13	2	0	2
chr1	3550000	3599999	72	2	0	2	2	0	2	28	50	2	48	5	2	3
chr1	3600000	3649999	73	0	0	0	0	0	0	27	5	1	4	0	0	0
chr1	3650000	3699999	74	7	0	7	2	2	0	24	29	3	26	8	0	8
chr1	3700000	3749999	75	8	0	8	1	0	1	26	24	0	24	0	0	0
chr1	3750000	3799999	76	2	0	2	20	13	7	106	164	118	46	16	11	5
chr1	3800000	3849999	77	0	0	0	2	2	0	22	9	2	7	3	0	3
chr1	3850000	3899999	78	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	3900000	3949999	79	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	3950000	3999999	80	0	0	0	2	2	0	9	4	4	0	0	0	0
chr1	4000000	4049999	81	0	0	0	2	0	2	21	16	0	16	0	0	0
chr1	4050000	4099999	82	0	0	0	6	0	6	33	19	0	19	2	0	2
chr1	4100000	4149999	83	2	2	0	4	0	4	34	39	4	35	3	0	3
chr1	4150000	4199999	84	0	0	0	3	0	3	21	20	2	18	0	0	0
chr1	4200000	4249999	85	19	0	19	5	2	3	28	64	4	60	7	0	7
chr1	4250000	4299999	86	10	10	0	4	2	2	23	36	14	22	1	0	1
chr1	4300000	4349999	87	8	8	0	5	4	1	22	56	15	41	5	2	3
chr1	4350000	4399999	88	3	0	3	10	0	10	30	69	4	65	1	0	1
chr1	4400000	4449999	89	11	9	2	6	0	6	26	116	18	98	5	0	5
chr1	4450000	4499999	90	0	0	0	4	0	4	21	29	2	27	1	0	1
chr1	4500000	4549999	91	11	10	1	4	0	4	18	46	13	33	1	0	1
chr1	4550000	4599999	92	13	10	3	4	0	4	16	39	11	28	2	0	2
chr1	4600000	4649999	93	0	0	0	5	0	5	14	36	2	34	4	0	4
chr1	4650000	4699999	94	14	0	14	10	3	7	24	55	3	52	0	0	0
chr1	4700000	4749999	95	11	0	11	15	0	15	62	196	13	183	12	0	12
chr1	4750000	4799999	96	13	0	13	26	6	20	63	205	35	170	24	1	23
chr1	4800000	4849999	97	3	3	0	7	2	5	37	29	5	24	0	0	0
chr1	4850000	4899999	98	7	0	7	29	4	25	91	208	14	194	31	2	29
chr1	4900000	4949999	99	8	4	4	0	0	0	8	18	4	14	0	0	0
chr1	4950000	4999999	100	6	6	0	2	0	2	17	32	7	25	0	0	0
chr1	5000000	5049999	101	4	2	2	14	0	14	57	176	8	168	26	1	25
chr1	5050000	5099999	102	3	1	2	3	0	3	25	29	1	28	1	0	1
chr1	5100000	5149999	103	0	0	0	2	0	2	25	54	1	53	7	0	7
chr1	5150000	5199999	104	10	2	8	0	0	0	15	31	2	29	2	0	2
chr1	5200000	5249999	105	6	3	3	12	0	12	41	166	5	161	20	2	18
chr1	5250000	5299999	106	1	0	1	6	0	6	30	46	2	44	2	0	2
chr1	5300000	5349999	107	19	1	18	12	0	12	47	75	8	67	6	0	6
chr1	5350000	5399999	108	12	2	10	16	7	9	88	118	46	72	6	3	3
chr1	5400000	5449999	109	1	1	0	1	0	1	12	8	5	3	0	0	0
chr1	5450000	5499999	110	1	1	0	4	0	4	18	23	2	21	0	0	0
chr1	5500000	5549999	111	2	2	0	2	0	2	10	13	4	9	0	0	0
chr1	5550000	5599999	112	16	4	12	1	0	1	12	31	6	25	3	0	3
chr1	5600000	5649999	113	6	6	0	2	0	2	28	42	6	36	6	0	6
chr1	5650000	5699999	114	5	0	5	0	0	0	19	20	0	20	5	0	5
chr1	5700000	5749999	115	9	9	0	8	0	8	45	123	9	114	2	0	2
chr1	5750000	5799999	116	8	1	7	13	0	13	52	93	4	89	7	0	7
chr1	5800000	5849999	117	7	4	3	2	0	2	28	49	21	28	2	1	1
chr1	5850000	5899999	118	5	0	5	7	0	7	43	65	19	46	5	1	4
chr1	5900000	5949999	119	20	0	20	7	0	7	50	152	28	124	8	2	6
chr1	5950000	5999999	120	0	0	0	5	0	5	37	30	2	28	2	0	2
chr1	6000000	6049999	121	8	2	6	1	0	1	47	125	26	99	9	1	8
chr1	6050000	6099999	122	12	1	11	2	0	2	27	64	15	49	0	0	0
chr1	6100000	6149999	123	0	0	0	9	0	9	34	27	4	23	1	0	1
chr1	6150000	6199999	124	1	0	1	0	0	0	20	3	0	3	1	0	1
chr1	6200000	6249999	125	0	0	0	0	0	0	9	13	3	10	3	2	1
chr1	6250000	6299999	126	0	0	0	13	0	13	52	52	2	50	4	0	4
chr1	6300000	6349999	127	0	0	0	0	0	0	8	7	2	5	0	0	0
chr1	6350000	6399999	128	0	0	0	0	0	0	29	15	2	13	0	0	0
chr1	6400000	6449999	129	1	0	1	6	2	4	36	63	25	38	8	1	7
chr1	6450000	6499999	130	0	0	0	0	0	0	10	17	6	11	1	1	0
chr1	6500000	6549999	131	2	0	2	1	0	1	18	16	1	15	2	0	2
chr1	6550000	6599999	132	3	0	3	0	0	0	23	10	0	10	2	0	2
chr1	6600000	6649999	133	6	2	4	1	0	1	25	11	2	9	0	0	0
chr1	6650000	6699999	134	6	0	6	2	1	1	28	16	1	15	1	0	1
chr1	6700000	6749999	135	1	0	1	0	0	0	16	14	9	5	5	3	2
chr1	6750000	6799999	136	6	0	6	2	0	2	26	40	12	28	3	2	1
chr1	6800000	6849999	137	2	0	2	4	0	4	34	14	0	14	0	0	0
chr1	6850000	6899999	138	0	0	0	0	0	0	14	2	0	2	0	0	0
chr1	6900000	6949999	139	2	0	2	0	0	0	9	22	4	18	0	0	0
chr1	6950000	6999999	140	2	0	2	4	2	2	18	10	4	6	0	0	0
chr1	7000000	7049999	141	10	0	10	4	2	2	20	24	2	22	1	0	1
chr1	7050000	7099999	142	5	0	5	0	0	0	8	21	0	21	0	0	0
chr1	7100000	7149999	143	0	0	0	0	0	0	14	7	2	5	0	0	0
chr1	7150000	7199999	144	4	2	2	3	0	3	16	64	12	52	6	0	6
chr1	7200000	7249999	145	2	2	0	2	0	2	10	6	4	2	0	0	0
chr1	7250000	7299999	146	4	0	4	0	0	0	0	22	2	20	5	0	5
chr1	7300000	7349999	147	5	0	5	17	0	17	51	225	4	221	46	0	46
chr1	7350000	7399999	148	2	2	0	2	0	2	9	22	2	20	0	0	0
chr1	7400000	7449999	149	6	6	0	4	0	4	17	74	11	63	10	0	10
chr1	7450000	7499999	150	6	4	2	0	0	0	14	12	4	8	0	0	0
chr1	7500000	7549999	151	9	2	7	6	1	5	34	86	3	83	8	0	8
chr1	7550000	7599999	152	23	2	21	36	2	34	139	224	57	167	12	2	10
chr1	7600000	7649999	153	8	0	8	3	0	3	25	53	4	49	4	0	4
chr1	7650000	7699999	154	2	2	0	4	1	3	61	55	24	31	10	3	7
chr1	7700000	7749999	155	10	0	10	1	0	1	40	35	0	35	2	0	2
chr1	7750000	7799999	156	0	0	0	0	0	0	41	7	0	7	1	0	1
chr1	7800000	7849999	157	6	0	6	2	0	2	51	23	4	19	2	0	2
chr1	7850000	7899999	158	10	0	10	1	0	1	22	28	1	27	3	0	3
chr1	7900000	7949999	159	9	9	0	2	0	2	48	40	14	26	2	0	2
chr1	7950000	7999999	160	2	0	2	8	0	8	35	37	0	37	0	0	0
chr1	8000000	8049999	161	0	0	0	0	0	0	15	15	4	11	0	0	0
chr1	8050000	8099999	162	0	0	0	2	0	2	30	12	3	9	1	1	0
chr1	8100000	8149999	163	0	0	0	0	0	0	18	9	0	9	0	0	0
chr1	8150000	8199999	164	5	3	2	22	0	22	113	144	11	133	20	1	19
chr1	8200000	8249999	165	8	8	0	0	0	0	56	23	13	10	0	0	0
chr1	8250000	8299999	166	9	1	8	1	0	1	41	27	3	24	1	0	1
chr1	8300000	8349999	167	1	1	0	4	0	4	24	18	1	17	5	0	5
chr1	8350000	8399999	168	11	1	10	2	0	2	12	29	5	24	0	0	0
chr1	8400000	8449999	169	4	0	4	0	0	0	32	32	2	30	2	0	2
chr1	8450000	8499999	170	0	0	0	0	0	0	10	20	4	16	4	0	4
chr1	8500000	8549999	171	2	0	2	0	0	0	19	21	0	21	0	0	0
chr1	8550000	8599999	172	0	0	0	3	3	0	23	12	4	8	0	0	0
chr1	8600000	8649999	173	0	0	0	2	0	2	30	17	1	16	0	0	0
chr1	8650000	8699999	174	0	0	0	1	0	1	22	31	8	23	4	0	4
chr1	8700000	8749999	175	4	0	4	7	1	6	32	31	6	25	3	0	3
chr1	8750000	8799999	176	4	0	4	0	0	0	20	43	23	20	1	1	0
chr1	8800000	8849999	177	0	0	0	0	0	0	10	24	2	22	3	0	3
chr1	8850000	8899999	178	0	0	0	7	1	6	40	43	12	31	4	0	4
chr1	8900000	8949999	179	0	0	0	3	1	2	33	16	9	7	0	0	0
chr1	8950000	8999999	180	3	0	3	1	0	1	32	56	19	37	2	2	0
chr1	9000000	9049999	181	0	0	0	9	5	4	49	57	5	52	4	0	4
chr1	9050000	9099999	182	18	6	12	5	0	5	39	41	6	35	1	0	1
chr1	9100000	9149999	183	19	11	8	6	0	6	26	42	20	22	2	2	0
chr1	9150000	9199999	184	7	7	0	4	0	4	28	21	11	10	4	2	2
chr1	9200000	9249999	185	1	0	1	3	0	3	27	29	11	18	2	0	2
chr1	9250000	9299999	186	2	0	2	2	0	2	18	9	1	8	0	0	0
chr1	9300000	9349999	187	21	2	19	11	5	6	111	131	41	90	15	6	9
chr1	9350000	9399999	188	8	0	8	3	1	2	42	63	6	57	2	1	1
chr1	9400000	9449999	189	6	0	6	1	0	1	63	42	25	17	3	3	0
chr1	9450000	9499999	190	0	0	0	2	0	2	36	32	1	31	3	0	3
chr1	9500000	9549999	191	0	0	0	2	0	2	12	22	4	18	4	2	2
chr1	9550000	9599999	192	4	0	4	33	6	27	89	382	53	329	50	9	41
chr1	9600000	9649999	193	2	0	2	3	2	1	49	45	30	15	4	3	1
chr1	9650000	9699999	194	21	0	21	0	0	0	14	44	9	35	3	0	3
chr1	9700000	9749999	195	1	0	1	0	0	0	4	7	4	3	0	0	0
chr1	9750000	9799999	196	5	1	4	2	1	1	24	64	52	12	7	7	0
chr1	9800000	9849999	197	2	2	0	3	0	3	28	49	4	45	6	0	6
chr1	9850000	9899999	198	0	0	0	2	0	2	26	46	4	42	4	0	4
chr1	9900000	9949999	199	4	4	0	3	0	3	19	39	9	30	2	0	2
chr1	9950000	9999999	200	3	2	1	0	0	0	17	19	9	10	0	0	0
chr1	10000000	10049999	201	5	0	5	0	0	0	19	23	8	15	0	0	0
chr1	10050000	10099999	202	2	1	1	7	1	6	31	81	42	39	11	7	4
chr1	10100000	10149999	203	1	0	1	5	1	4	27	60	31	29	8	4	4
chr1	10150000	10199999	204	0	0	0	0	0	0	12	12	7	5	2	2	0
chr1	10200000	10249999	205	8	3	5	16	0	16	62	187	10	177	19	1	18
chr1	10250000	10299999	206	1	1	0	1	0	1	29	44	15	29	2	1	1
chr1	10300000	10349999	207	4	0	4	0	0	0	22	15	4	11	1	0	1
chr1	10350000	10399999	208	17	13	4	11	2	9	254	107	34	73	10	1	9
chr1	10400000	10449999	209	2	2	0	0	0	0	22	8	4	4	2	2	0
chr1	10450000	10499999	210	0	0	0	3	0	3	30	71	3	68	10	2	8
chr1	10500000	10549999	211	2	0	2	11	1	10	58	104	12	92	4	0	4
chr1	10550000	10599999	212	2	2	0	2	0	2	28	22	5	17	4	0	4
chr1	10600000	10649999	213	10	8	2	8	0	8	54	92	16	76	2	1	1
chr1	10650000	10699999	214	18	0	18	37	0	37	134	410	18	392	50	0	50
chr1	10700000	10749999	215	30	7	23	6	0	6	31	86	18	68	8	0	8
chr1	10750000	10799999	216	4	0	4	1	0	1	23	16	6	10	3	0	3
chr1	10800000	10849999	217	3	0	3	10	0	10	24	56	0	56	6	0	6
chr1	10850000	10899999	218	1	0	1	0	0	0	2	22	7	15	6	0	6
chr1	10900000	10949999	219	0	0	0	6	2	4	29	34	14	20	1	0	1
chr1	10950000	10999999	220	1	0	1	6	0	6	32	40	3	37	9	0	9
chr1	11000000	11049999	221	4	2	2	9	6	3	44	25	12	13	0	0	0
chr1	11050000	11099999	222	2	2	0	9	1	8	48	38	15	23	0	0	0
chr1	11100000	11149999	223	0	0	0	1	1	0	4	5	5	0	0	0	0
chr1	11150000	11199999	224	4	0	4	0	0	0	10	11	0	11	0	0	0
chr1	11200000	11249999	225	0	0	0	2	0	2	30	15	3	12	0	0	0
chr1	11250000	11299999	226	2	0	2	0	0	0	0	4	0	4	0	0	0
chr1	11300000	11349999	227	0	0	0	2	2	0	24	12	4	8	1	0	1
chr1	11350000	11399999	228	1	0	1	0	0	0	4	17	4	13	6	0	6
chr1	11400000	11449999	229	4	4	0	0	0	0	12	43	4	39	9	0	9
chr1	11450000	11499999	230	12	10	2	2	0	2	35	23	14	9	0	0	0
chr1	11500000	11549999	231	6	2	4	0	0	0	13	16	4	12	0	0	0
chr1	11550000	11599999	232	9	0	9	0	0	0	14	43	0	43	2	0	2
chr1	11600000	11649999	233	2	2	0	1	1	0	4	11	3	8	0	0	0
chr1	11650000	11699999	234	0	0	0	1	0	1	7	20	2	18	0	0	0
chr1	11700000	11749999	235	4	0	4	2	2	0	19	16	2	14	2	0	2
chr1	11750000	11799999	236	8	0	8	0	0	0	17	15	0	15	2	0	2
chr1	11800000	11849999	237	4	0	4	9	2	7	42	28	10	18	2	0	2
chr1	11850000	11899999	238	0	0	0	2	0	2	19	9	4	5	2	0	2
chr1	11900000	11949999	239	12	2	10	3	0	3	16	79	4	75	9	0	9
chr1	11950000	11999999	240	3	0	3	0	0	0	22	34	6	28	4	0	4
chr1	12000000	12049999	241	2	0	2	0	0	0	17	8	2	6	1	0	1
chr1	12050000	12099999	242	0	0	0	1	0	1	18	5	0	5	0	0	0
chr1	12100000	12149999	243	7	5	2	8	1	7	52	80	8	72	5	0	5
chr1	12150000	12199999	244	1	0	1	5	0	5	27	30	2	28	4	0	4
chr1	12200000	12249999	245	3	0	3	5	1	4	21	28	5	23	3	0	3
chr1	12250000	12299999	246	0	0	0	3	1	2	24	21	9	12	0	0	0
chr1	12300000	12349999	247	0	0	0	1	0	1	16	4	1	3	0	0	0
chr1	12350000	12399999	248	7	0	7	20	0	20	80	283	0	283	44	0	44
chr1	12400000	12449999	249	0	0	0	0	0	0	17	5	4	1	0	0	0
chr1	12450000	12499999	250	0	0	0	0	0	0	7	7	5	2	0	0	0
chr1	12500000	12549999	251	0	0	0	0	0	0	11	6	3	3	0	0	0
chr1	12550000	12599999	252	0	0	0	0	0	0	18	4	4	0	0	0	0
chr1	12600000	12649999	253	8	0	8	2	0	2	15	29	4	25	3	1	2
chr1	12650000	12699999	254	4	0	4	0	0	0	18	29	2	27	2	0	2
chr1	12700000	12749999	255	0	0	0	4	0	4	22	19	2	17	4	0	4
chr1	12750000	12799999	256	0	0	0	3	1	2	36	45	4	41	5	0	5
chr1	12800000	12849999	257	4	0	4	23	0	23	416	225	12	213	28	3	25
chr1	12850000	12899999	258	13	1	12	47	5	42	448	470	48	422	54	5	49
chr1	12900000	12949999	259	5	3	2	44	7	37	207	388	64	324	35	6	29
chr1	12950000	12999999	260	1	0	1	1	0	1	22	8	0	8	1	0	1
chr1	13000000	13049999	261	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	13050000	13099999	262	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	13100000	13149999	263	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	13150000	13199999	264	2	0	2	1	0	1	50	13	0	13	3	0	3
chr1	13200000	13249999	265	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	13250000	13299999	266	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	13300000	13349999	267	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	13350000	13399999	268	16	14	2	42	1	41	291	479	47	432	45	3	42
chr1	13400000	13449999	269	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	13450000	13499999	270	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	13500000	13549999	271	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	13550000	13599999	272	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	13600000	13649999	273	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	13650000	13699999	274	1	0	1	10	0	10	209	88	2	86	7	0	7
chr1	13700000	13749999	275	1	0	1	2	1	1	132	11	7	4	3	1	2
chr1	13750000	13799999	276	0	0	0	12	0	12	111	107	25	82	12	4	8
chr1	13800000	13849999	277	2	2	0	2	0	2	34	53	9	44	2	0	2
chr1	13850000	13899999	278	4	2	2	11	0	11	47	61	4	57	9	0	9
chr1	13900000	13949999	279	4	1	3	1	0	1	4	21	1	20	4	0	4
chr1	13950000	13999999	280	2	0	2	0	0	0	7	15	4	11	2	2	0
chr1	14000000	14049999	281	2	0	2	2	0	2	16	5	0	5	0	0	0
chr1	14050000	14099999	282	1	1	0	9	0	9	51	56	7	49	9	0	9
chr1	14100000	14149999	283	11	7	4	3	0	3	27	52	11	41	7	0	7
chr1	14150000	14199999	284	2	0	2	1	0	1	31	10	4	6	0	0	0
chr1	14200000	14249999	285	2	0	2	3	0	3	21	27	12	15	1	0	1
chr1	14250000	14299999	286	3	3	0	6	0	6	18	22	4	18	1	1	0
chr1	14300000	14349999	287	0	0	0	9	4	5	36	138	91	47	15	14	1
chr1	14350000	14399999	288	0	0	0	1	0	1	11	21	8	13	0	0	0
chr1	14400000	14449999	289	4	0	4	1	0	1	13	28	13	15	1	0	1
chr1	14450000	14499999	290	4	4	0	2	0	2	16	20	6	14	1	0	1
chr1	14500000	14549999	291	2	2	0	0	0	0	10	16	3	13	0	0	0
chr1	14550000	14599999	292	1	0	1	0	0	0	8	11	2	9	2	0	2
chr1	14600000	14649999	293	7	6	1	1	0	1	7	14	6	8	0	0	0
chr1	14650000	14699999	294	4	2	2	0	0	0	14	12	2	10	2	0	2
chr1	14700000	14749999	295	0	0	0	0	0	0	14	10	4	6	0	0	0
chr1	14750000	14799999	296	4	0	4	1	0	1	22	26	6	20	4	0	4
chr1	14800000	14849999	297	6	4	2	0	0	0	7	23	4	19	2	0	2
chr1	14850000	14899999	298	0	0	0	0	0	0	14	11	2	9	0	0	0
chr1	14900000	14949999	299	0	0	0	1	0	1	11	6	4	2	0	0	0
chr1	14950000	14999999	300	11	0	11	4	0	4	20	46	1	45	4	0	4
chr1	15000000	15049999	301	1	0	1	2	0	2	18	35	4	31	2	0	2
chr1	15050000	15099999	302	12	6	6	8	0	8	28	83	14	69	6	1	5
chr1	15100000	15149999	303	10	8	2	7	0	7	31	47	12	35	3	0	3
chr1	15150000	15199999	304	4	2	2	1	0	1	20	48	7	41	6	0	6
chr1	15200000	15249999	305	12	8	4	3	0	3	13	73	13	60	7	2	5
chr1	15250000	15299999	306	14	0	14	9	0	9	39	95	0	95	5	0	5
chr1	15300000	15349999	307	6	0	6	7	0	7	45	112	7	105	2	0	2
chr1	15350000	15399999	308	2	0	2	11	1	10	35	158	34	124	16	3	13
chr1	15400000	15449999	309	2	2	0	0	0	0	11	10	6	4	0	0	0
chr1	15450000	15499999	310	15	11	4	14	4	10	174	226	123	103	28	13	15
chr1	15500000	15549999	311	17	5	12	7	0	7	48	83	13	70	4	1	3
chr1	15550000	15599999	312	13	0	13	0	0	0	10	27	0	27	2	0	2
chr1	15600000	15649999	313	4	0	4	0	0	0	12	18	4	14	2	2	0
chr1	15650000	15699999	314	20	14	6	7	1	6	28	100	71	29	9	6	3
chr1	15700000	15749999	315	1	0	1	2	0	2	25	20	6	14	0	0	0
chr1	15750000	15799999	316	5	3	2	6	1	5	44	63	15	48	9	2	7
chr1	15800000	15849999	317	2	0	2	6	2	4	35	40	14	26	2	0	2
chr1	15850000	15899999	318	7	0	7	0	0	0	27	13	2	11	0	0	0
chr1	15900000	15949999	319	2	2	0	6	2	4	42	24	4	20	2	0	2
chr1	15950000	15999999	320	2	2	0	0	0	0	6	10	5	5	0	0	0
chr1	16000000	16049999	321	7	1	6	11	0	11	95	87	32	55	5	3	2
chr1	16050000	16099999	322	6	0	6	0	0	0	41	45	29	16	6	3	3
chr1	16100000	16149999	323	7	4	3	24	10	14	689	484	221	263	58	30	28
chr1	16150000	16199999	324	52	4	48	290	23	267	1349	2924	392	2532	367	48	319
chr1	16200000	16249999	325	0	0	0	0	0	0	27	6	1	5	1	1	0
chr1	16250000	16299999	326	8	3	5	0	0	0	15	16	9	7	0	0	0
chr1	16300000	16349999	327	15	4	11	15	6	9	110	187	47	140	15	4	11
chr1	16350000	16399999	328	10	1	9	25	7	18	167	341	108	233	31	12	19
chr1	16400000	16449999	329	5	0	5	11	1	10	84	97	21	76	18	1	17
chr1	16450000	16499999	330	12	10	2	0	0	0	26	37	15	22	1	0	1
chr1	16500000	16549999	331	7	5	2	0	0	0	21	28	12	16	2	0	2
chr1	16550000	16599999	332	2	0	2	3	1	2	45	50	24	26	2	1	1
chr1	16600000	16649999	333	0	0	0	0	0	0	15	9	6	3	0	0	0
chr1	16650000	16699999	334	0	0	0	3	0	3	37	27	9	18	1	0	1
chr1	16700000	16749999	335	0	0	0	0	0	0	15	13	4	9	2	0	2
chr1	16750000	16799999	336	0	0	0	0	0	0	118	52	9	43	0	0	0
chr1	16800000	16849999	337	4	0	4	5	0	5	678	65	31	34	6	2	4
chr1	16850000	16899999	338	3	1	2	17	2	15	707	141	45	96	13	4	9
chr1	16900000	16949999	339	2	1	1	13	2	11	317	80	25	55	3	1	2
chr1	16950000	16999999	340	6	1	5	8	0	8	521	109	25	84	10	4	6
chr1	17000000	17049999	341	25	4	21	97	20	77	1818	804	221	583	86	24	62
chr1	17050000	17099999	342	9	2	7	44	3	41	577	271	36	235	22	4	18
