bedA	bedB	pvalue	zscore	alt	regionset	window	Acnt	Bcnt	Abp	Bbp	intersection	union	jaccard	Ninter	Ainter	Binter	Auniq	Buniq	A_fifty	B_fifty
13_Heterochrom	cancLpredH	0.224775224775225	-0.6375	less	1731	0	88720	840	1946348263	42000000	22680742	1965577961	0.011539	1731	1592	696	87128	144	1219	297
14_Repetitive	cancHpredH	0.376623376623377	0.1595	greater	22	0	2971	343	4087056	17150000	29400	21204342	0.00138651	22	22	10	2949	333	21	0
14_Repetitive	cancHpredL	0.004995004995005	3.9717	greater	253	0	2971	2352	4087056	117600000	295720	121386013	0.0024362	253	253	99	2718	2253	251	0
14_Repetitive	cancHpredL2	0.0929070929070929	1.3311	greater	55	0	2971	642	4087056	32100000	83804	36099639	0.00232146	55	55	15	2916	627	53	0
14_Repetitive	cancLpredH	0.364635364635365	0.2505	greater	55	0	2971	840	4087056	42000000	141257	45941988	0.00307468	55	55	22	2916	818	54	0
15_Repetitive	cancHpredH	0.588411588411588	-0.1292	less	10	0	1730	343	2209799	17150000	3600	19354126	0.000186007	10	10	8	1720	335	10	0
15_Repetitive	cancHpredL	0.020979020979021	2.3436	greater	131	0	1730	2352	2209799	117600000	205277	119600440	0.00171636	131	130	46	1600	2306	126	1
15_Repetitive	cancHpredL2	0.136863136863137	1.2137	greater	36	0	1730	642	2209799	32100000	88593	34218834	0.00258901	36	35	10	1695	632	33	1
15_Repetitive	cancLpredH	0.58041958041958	-0.009	less	28	0	1730	840	2209799	42000000	19400	44187829	0.000439035	28	28	16	1702	824	28	0
1_Active_Promoter	cancHpredH	0.444555444555445	0.1735	greater	86	0	14013	343	19061786	17150000	107567	36089863	0.00298053	86	85	63	13928	280	82	0
1_Active_Promoter	cancHpredL	0.000999000999000999	-3.1066	less	404	0	14013	2352	19061786	117600000	507204	136138217	0.00372565	404	403	292	13610	2060	389	0
1_Active_Promoter	cancHpredL2	0.012987012987013	-1.9822	less	64	0	14013	642	19061786	32100000	76600	51070531	0.00149989	64	64	49	13949	593	62	0
1_Active_Promoter	cancLpredH	0.000999000999000999	7.227	greater	402	0	14013	840	19061786	42000000	508500	60538433	0.00839962	402	398	230	13615	610	392	0
2_Weak_Promoter	cancHpredH	0.304695304695305	0.5362	greater	160	0	25361	343	11549961	17150000	98748	28575509	0.00345569	160	160	81	25201	262	157	1
2_Weak_Promoter	cancHpredL	0.000999000999000999	-3.2011	less	728	0	25361	2352	11549961	117600000	309042	128813206	0.00239915	728	728	404	24633	1948	722	0
2_Weak_Promoter	cancHpredL2	0.016983016983017	-2.1119	less	118	0	25361	642	11549961	32100000	50284	43573674	0.001154	118	118	67	25243	575	117	0
2_Weak_Promoter	cancLpredH	0.000999000999000999	6.2808	greater	621	0	25361	840	11549961	42000000	277678	53246082	0.00521499	621	619	267	24742	573	612	0
3_Poised_Promoter	cancHpredH	0.032967032967033	2.2538	greater	66	0	7293	343	6933909	17150000	56493	24019780	0.00235194	66	66	41	7227	302	63	0
3_Poised_Promoter	cancHpredL	0.356643356643357	0.3536	greater	280	0	7293	2352	6933909	117600000	256965	124267299	0.00206784	280	280	195	7013	2157	271	0
3_Poised_Promoter	cancHpredL2	0.020979020979021	-1.712	less	32	0	7293	642	6933909	32100000	25444	39000530	0.000652401	32	32	22	7261	620	31	0
3_Poised_Promoter	cancLpredH	0.016983016983017	2.4171	greater	145	0	7293	840	6933909	42000000	129874	48795902	0.00266158	145	145	94	7148	746	142	0
4_Strong_Enhancer	cancHpredH	0.024975024975025	1.9739	greater	228	0	30238	343	25758102	17150000	228004	42649517	0.00534599	228	227	103	30011	240	224	0
4_Strong_Enhancer	cancHpredL	0.000999000999000999	-4.0883	less	813	0	30238	2352	25758102	117600000	653521	142671991	0.00458058	813	810	397	29428	1955	801	0
4_Strong_Enhancer	cancHpredL2	0.0569430569430569	-1.5931	less	176	0	30238	642	25758102	32100000	135440	57691782	0.00234765	176	174	78	30064	564	172	0
4_Strong_Enhancer	cancLpredH	0.000999000999000999	7.4137	greater	890	0	30238	840	25758102	42000000	920749	66806275	0.0137824	890	886	297	29352	543	873	0
5_Strong_Enhancer	cancHpredH	0.000999000999000999	3.2422	greater	453	0	56021	343	37488230	17150000	301007	54280859	0.00554536	453	453	131	55568	212	448	0
5_Strong_Enhancer	cancHpredL	0.000999000999000999	-4.4708	less	1551	0	56021	2352	37488230	117600000	1010402	154019455	0.00656022	1551	1550	558	54471	1794	1535	0
5_Strong_Enhancer	cancHpredL2	0.028971028971029	-1.8354	less	345	0	56021	642	37488230	32100000	223360	69308207	0.00322271	345	345	117	55676	525	342	0
5_Strong_Enhancer	cancLpredH	0.00899100899100899	5.6599	greater	1311	0	56021	840	37488230	42000000	810986	78620383	0.0103152	1311	1306	352	54715	488	1298	0
6_Weak_Enhancer	cancHpredH	0.012987012987013	2.4094	greater	465	0	66450	343	25277826	17150000	175666	42185367	0.00416415	465	465	199	65985	144	463	0
6_Weak_Enhancer	cancHpredL	0.000999000999000999	-4.3701	less	1995	0	66450	2352	25277826	117600000	723710	142085314	0.00509349	1995	1994	922	64456	1430	1988	0
6_Weak_Enhancer	cancHpredL2	0.024975024975025	-2.1351	less	416	0	66450	642	25277826	32100000	150093	57160641	0.00262581	416	416	187	66034	455	415	0
6_Weak_Enhancer	cancLpredH	0.000999000999000999	5.5892	greater	1332	0	66450	840	25277826	42000000	490047	66720489	0.00734478	1332	1330	483	65120	357	1320	0
7_Weak_Enhancer	cancHpredH	0.000999000999000999	3.5747	greater	954	0	126719	343	56111496	17150000	429137	72705297	0.00590242	954	954	213	125765	130	950	0
7_Weak_Enhancer	cancHpredL	0.000999000999000999	-4.8391	less	3717	0	126719	2352	56111496	117600000	1630164	171952261	0.00948033	3717	3711	1003	123008	1349	3680	0
7_Weak_Enhancer	cancHpredL2	0.004995004995005	-2.322	less	797	0	126719	642	56111496	32100000	334235	87749900	0.00380895	797	796	205	125923	437	791	0
7_Weak_Enhancer	cancLpredH	0.000999000999000999	4.0188	greater	2351	0	126719	840	56111496	42000000	1029463	96954474	0.010618	2351	2345	517	124374	323	2329	0
8_Insulator	cancHpredH	0.292707292707293	0.5184	greater	263	0	43572	343	19975800	17150000	120062	36961823	0.00324827	263	263	154	43309	189	262	0
8_Insulator	cancHpredL	0.180819180819181	-0.8426	less	1562	0	43572	2352	19975800	117600000	716452	136813424	0.00523671	1562	1561	965	42011	1387	1552	0
8_Insulator	cancHpredL2	0.024975024975025	-1.9804	less	290	0	43572	642	19975800	32100000	131096	51900490	0.00252591	290	290	196	43282	446	289	0
8_Insulator	cancLpredH	0.020979020979021	2.1267	greater	712	0	43572	840	19975800	42000000	329851	61601537	0.00535459	712	710	426	42862	414	708	0
9_Txn_Transition	cancHpredH	0.332667332667333	0.2913	greater	97	0	14732	343	20149066	17150000	126952	37157039	0.00341663	97	97	42	14635	301	96	0
9_Txn_Transition	cancHpredL	0.000999000999000999	-3.1787	less	381	0	14732	2352	20149066	117600000	586164	137145818	0.00427402	381	378	175	14354	2177	369	0
9_Txn_Transition	cancHpredL2	0.112887112887113	-1.1262	less	83	0	14732	642	20149066	32100000	98495	52135197	0.00188922	83	82	31	14650	611	81	0
9_Txn_Transition	cancLpredH	0.004995004995005	6.1472	greater	480	0	14732	840	20149066	42000000	703346	61430148	0.0114495	480	479	178	14253	662	466	0
